,dia,nuo,defected,data,qSQI,cSQI,sSQI,kSQI,pSQI,basSQI,fSQI
258,1,0,1,"[-1.11610070e-02 -1.28088047e-02 -1.44210822e-02 ... -2.03350390e-04
 -1.34312247e-04 -6.61417819e-05]",0.016,0.637,0.454,2.78,0.987,0.736,0.25650878007497974
259,1,1,1,"[-0.04164913 -0.04394941 -0.04616786 ...  0.01530673  0.01312924
  0.01090434]",0.02,0.638,0.99,8.225,0.967,0.735,0.25363070962594136
260,0,1,0,"[-1.50607633e-03 -7.68304997e-04 -7.98643672e-05 ...  2.41469449e-02
  2.05351438e-02  1.68492600e-02]",0.078,0.589,2.826,140.852,0.981,0.683,0.18153364313906903
261,0,1,0,"[ 0.02037012  0.02547996  0.03044016 ... -0.00637378 -0.00961166
 -0.01281981]",0.173,0.647,0.079,17.897,0.976,0.704,0.2492191697647909
262,1,1,1,"[-0.00878888 -0.0097062  -0.01061731 ... -0.01530372 -0.01221628
 -0.00902197]",0.057,0.676,-0.398,91.727,0.99,0.732,0.23159831526495772
263,1,0,1,"[-0.01428656 -0.01563999 -0.01701358 ...  0.00844724  0.00725582
  0.00607696]",0.443,0.574,0.878,20.163,0.985,0.661,0.155360889178919
264,1,0,0,"[-0.00414877 -0.00556753 -0.00691641 ...  0.00572883  0.00324485
  0.00070316]",0.173,0.587,1.747,6.391,0.985,0.857,0.40443352319253617
265,1,0,1,"[-0.01404948 -0.01387329 -0.01367212 ... -0.02345255 -0.02069041
 -0.01786171]",0.2,0.588,2.211,50.984,0.984,0.707,0.16795168521212436
266,1,1,0,"[ 0.00574112  0.00440006  0.00309136 ... -0.00149624 -0.00182061
 -0.00218009]",0.164,0.637,0.941,6.478,0.984,0.743,0.26714202324902686
267,1,1,0,"[ 0.00134871  0.00274869  0.00409129 ... -0.0103863  -0.00851223
 -0.00659691]",0.175,0.655,2.381,9.144,0.985,0.83,0.42306494290860236
268,0,0,1,"[-0.00845935 -0.00530556 -0.00221992 ... -0.00106374 -0.00125083
 -0.00147673]",0.078,0.629,0.937,79.07,0.987,0.683,0.1312703138048929
269,0,0,1,"[-0.00075275  0.00031381  0.0013306  ... -0.00981652 -0.00875861
 -0.00768877]",0.218,0.601,-1.856,115.287,0.988,0.572,0.07238760497706401
270,1,1,0,"[ 0.00448142  0.00376871  0.00315217 ... -0.00212069 -0.00155774
 -0.00097579]",0.034,0.646,-1.976,48.357,0.992,0.665,0.1570886109540372
271,0,1,0,"[ 0.00813544  0.00857294  0.00900025 ... -0.00502443 -0.00511685
 -0.00523197]",0.481,0.576,1.804,7.8,0.986,0.81,0.3710223817417908
272,1,1,1,[0.00499912 0.00500709 0.00499413 ... 0.00505077 0.00369036 0.00230543],0.01,0.703,-0.371,27.939,0.994,0.765,0.27887807015567545
273,0,1,0,"[ 0.01681761  0.01512435  0.01349656 ... -0.00631238 -0.00541871
 -0.00451174]",0.002,0.514,2.605,11.526,0.98,0.852,0.4620676018726561
274,2,1,0,"[ 0.01207495  0.02010528  0.02786149 ... -0.00998813 -0.00717512
 -0.00424937]",0.071,0.657,2.989,13.657,0.986,0.844,0.45671919957529516
275,2,1,0,"[ 0.00356113  0.00229881  0.0010681  ... -0.00611439 -0.00531741
 -0.0044889 ]",0.032,0.602,2.441,11.275,0.989,0.81,0.39889377631046696
276,0,1,1,"[ 0.02460807  0.03219557  0.03957148 ... -0.00080495 -0.00022431
  0.00034861]",0.137,0.631,3.294,15.429,0.982,0.858,0.4568308957375988
277,0,0,0,"[ 0.04840407  0.04840002  0.04837375 ... -0.0110299  -0.01088931
 -0.01078243]",0.038,0.624,2.87,12.666,0.973,0.812,0.3905458880707537
278,0,0,1,"[ 0.00577355  0.00375263  0.00172117 ... -0.01376186 -0.01241263
 -0.0110629 ]",0.217,0.639,2.713,28.628,0.976,0.726,0.22584334940292605
279,0,0,0,"[ 0.00939747  0.00997552  0.01055379 ... -0.00460763 -0.00465929
 -0.00473642]",0.081,0.624,0.378,3.89,0.978,0.834,0.34052710403828157
280,0,0,1,"[-0.00907196 -0.00878338 -0.00847034 ...  0.00307621  0.00309746
  0.00312555]",0.228,0.58,6.947,270.883,0.977,0.584,0.07593377085689385
281,0,0,1,"[-0.00083001 -0.00185231 -0.00282327 ... -0.01721049 -0.0141739
 -0.01104703]",0.276,0.579,0.1,3.891,0.978,0.749,0.25604509799198033
282,1,1,0,"[ 0.00742162  0.011748    0.01588742 ... -0.02536302 -0.02196495
 -0.01855892]",0.484,0.581,2.614,11.721,0.985,0.852,0.4360472149784326
283,1,0,0,"[-0.01399468 -0.0135346  -0.01303554 ... -0.01597928 -0.0220794
 -0.02833569]",0.171,0.619,0.977,7.198,0.982,0.768,0.2955821478098568
284,1,0,1,"[-0.00102085 -0.0023138  -0.00355504 ...  0.00991858  0.0086418
  0.00737091]",0.864,0.579,1.233,9.908,0.992,0.753,0.28456983646976575
285,0,1,0,"[ 0.01023434  0.00987619  0.00951515 ... -0.00488281 -0.00311278
 -0.00123457]",0.077,0.642,2.334,7.549,0.988,0.887,0.4591417469135901
286,0,0,0,"[-0.00822033 -0.00703783 -0.00586297 ...  0.00516807  0.00473864
  0.00433886]",0.142,0.639,2.23,6.871,0.986,0.88,0.4381004588637273
287,0,0,1,"[-0.01643189 -0.01591273 -0.01540819 ...  0.00824237  0.0071255
  0.00601193]",0.285,0.621,1.109,16.288,0.973,0.739,0.20607609111655237
288,0,0,1,[0.01393048 0.01495495 0.01596103 ... 0.0056514  0.00592108 0.00620801],0.257,0.603,0.951,1.962,0.982,0.739,0.23507665412880754
289,1,0,1,"[ 0.01692515  0.01568535  0.01448367 ... -0.01052682 -0.00930587
 -0.00806057]",0.012,0.641,1.083,7.936,0.983,0.777,0.21613298646741574
290,1,0,1,[0.03129377 0.03183548 0.03234502 ... 0.00019748 0.00067387 0.00117097],0.014,0.635,0.057,12.649,0.982,0.686,0.11824032578908257
291,1,0,1,"[ 0.00851849  0.00797703  0.00745135 ... -0.01220724 -0.01104422
 -0.00989206]",0.015,0.62,1.039,15.969,0.985,0.608,0.07202061641125035
292,0,1,0,"[-0.02323627 -0.02524047 -0.02722309 ... -0.0005373  -0.00120728
 -0.00194734]",0.848,0.572,1.727,20.13,0.986,0.749,0.2684576004342364
293,0,0,1,"[-0.00082398  0.00035132  0.00150652 ... -0.0122655  -0.00973768
 -0.0072071 ]",0.007,0.556,-0.824,62.041,0.989,0.767,0.2699975173519563
294,0,1,1,"[-0.00258583 -0.0019036  -0.00122282 ...  0.01582984  0.01233636
  0.00867774]",0.226,0.931,0.912,13.14,0.979,0.776,0.24768523050936672
295,0,1,0,"[ 0.00145439  0.0015768   0.00175053 ... -0.00647553 -0.00565629
 -0.00481502]",0.21,0.777,1.175,4.133,0.985,0.781,0.24315581021681673
296,0,1,0,[0.04065934 0.04837126 0.05621062 ... 0.010402   0.00919575 0.00796578],0.002,0.628,1.749,8.443,0.98,0.781,0.39681820074940016
297,0,0,1,"[-0.00342791 -0.00373386 -0.00401027 ... -0.00999908 -0.01025624
 -0.01054029]",0.005,0.609,3.03,13.692,0.991,0.829,0.5211310245111171
298,0,1,0,"[-0.00369007 -0.00086637  0.00186911 ... -0.01307025 -0.01186591
 -0.01064219]",0.002,0.548,3.06,14.052,0.993,0.813,0.48024304148919794
299,1,0,1,"[ 0.01308327  0.01480148  0.0164417  ... -0.00748092 -0.0069881
 -0.00646437]",0.475,0.589,-2.185,108.573,0.986,0.697,0.18880925912095267
300,1,1,1,"[-0.00843845 -0.00685074 -0.00527796 ...  0.01327458  0.01256373
  0.01183536]",0.005,0.657,-2.065,93.576,0.987,0.672,0.14185865522170382
301,1,0,1,"[ 0.00115465 -0.00109754 -0.00330657 ... -0.00380789 -0.00307526
 -0.00233471]",0.155,0.933,-0.218,78.153,0.99,0.675,0.1697752031491285
302,1,0,0,"[ 0.00168469  0.00144061  0.00120562 ... -0.00086471 -0.00033587
  0.00020255]",0.008,0.629,-0.119,84.004,0.992,0.589,0.09895501002768006
303,1,1,0,"[-0.01164718 -0.00918094 -0.00678381 ...  0.02499047  0.02187553
  0.0187209 ]",0.142,0.613,2.739,11.904,0.98,0.869,0.5660777602888345
304,1,1,0,[0.01932233 0.02126407 0.02316936 ... 0.00571874 0.00611786 0.00650559],0.138,0.633,2.541,12.917,0.987,0.809,0.4166580416755743
305,2,1,0,"[-0.00135482  0.00019209  0.00170388 ...  0.01039789  0.00916539
  0.00789348]",0.0,0.481,-1.076,43.435,0.993,0.752,0.33981682700767574
306,2,1,0,"[-0.01335899 -0.01365165 -0.01391323 ... -0.04137033 -0.03948397
 -0.03758469]",0.0,0.069,-2.166,78.079,0.989,0.685,0.2266728549217667
307,1,0,1,"[ 0.33561552  0.33240711  0.32921672 ... -0.0218505  -0.02139661
 -0.02097054]",0.389,0.623,-0.055,23.113,0.914,0.618,0.09691790900922051
308,1,0,1,"[ 0.00413159  0.00342599  0.00273138 ...  0.00180855  0.0008268
 -0.00016019]",0.256,0.564,1.405,51.529,0.984,0.642,0.13106172462744817
309,1,0,0,"[-0.01705307 -0.0182401  -0.01941364 ...  0.01204091  0.00942448
  0.00674606]",0.505,0.588,0.15,10.443,0.982,0.667,0.16118780967695917
310,1,1,0,"[ 0.01674862  0.01311598  0.0096417  ... -0.01959608 -0.01645898
 -0.01321888]",0.609,0.586,-0.435,19.952,0.971,0.694,0.3092351511783702
311,1,1,0,"[-0.03024902 -0.0313074  -0.03229569 ...  0.01007294  0.00947524
  0.00883828]",0.197,0.582,0.962,3.152,0.968,0.681,0.26182723020520265
312,1,1,0,"[ 0.00675194  0.00557871  0.00445939 ... -0.03281475 -0.0288901
 -0.02491692]",0.162,0.602,2.812,12.711,0.978,0.862,0.44301700740767674
313,1,1,0,"[ 0.01814379  0.02279324  0.02733975 ... -0.01129983 -0.01066292
 -0.01002061]",0.029,0.628,2.659,10.52,0.98,0.831,0.40059930210686645
314,1,0,0,[0.068329   0.06901177 0.06966298 ... 0.00580299 0.00482632 0.00382591],0.693,0.601,1.782,24.3,0.976,0.826,0.45505051903556104
315,1,1,0,"[-0.0006544  -0.00260835 -0.00453409 ...  0.04176252  0.04486654
  0.04780522]",0.002,0.545,4.13,22.251,0.98,0.886,0.5250190635893425
316,1,0,1,"[ 0.00887712  0.00998443  0.01105465 ... -0.77541099 -0.63681437
 -0.49432399]",0.224,0.538,-1.732,85.672,0.88,0.78,0.3449308879344836
317,1,1,0,"[-0.00055758  0.00096465  0.00244303 ...  0.0151248   0.01202174
  0.00881932]",0.175,0.586,1.359,5.717,0.98,0.806,0.33497309170757333
318,1,1,0,"[ 0.03259532  0.0328327   0.03307537 ... -0.01077603 -0.00887339
 -0.00701248]",0.686,0.587,-0.694,9.941,0.965,0.668,0.2234703566393066
319,1,1,1,[0.11923139 0.11691758 0.11464421 ... 0.03041966 0.02797261 0.02572585],0.245,0.485,0.032,13.553,0.944,0.646,0.11155250856953616
320,1,0,0,"[-0.00731514 -0.00848469 -0.00962467 ... -0.01103553 -0.00880851
 -0.00652814]",0.038,0.648,2.301,8.778,0.987,0.813,0.3767532914476956
321,1,0,1,"[-0.00938455 -0.00605951 -0.00285459 ... -0.0099135  -0.00913105
 -0.00832867]",0.008,0.67,0.335,8.055,0.989,0.628,0.12749097710025697
322,0,1,1,"[-0.00548306 -0.00647239 -0.00742005 ... -0.00026269 -0.0015494
 -0.00287475]",0.258,0.864,0.766,7.106,0.983,0.812,0.3652752779439308
323,0,1,0,"[ 5.80414694e-03  6.90855136e-03  7.98323344e-03 ... -1.81730908e-03
 -9.58010700e-04 -5.24281819e-05]",0.191,0.695,1.658,5.093,0.979,0.845,0.40468717176469726
324,2,1,1,"[-0.00741019 -0.00782815 -0.00822853 ... -0.01297285 -0.01136063
 -0.00968632]",0.127,0.555,1.074,10.486,0.988,0.747,0.3783065552459261
325,2,1,1,[0.00909883 0.00780421 0.00651096 ... 0.0074925  0.00701384 0.00652662],0.233,0.597,0.746,91.818,0.99,0.625,0.13011035845213287
326,0,0,1,"[-0.00639775 -0.00546142 -0.00455396 ...  0.00700523  0.00739798
  0.00780936]",0.175,0.587,-0.079,47.823,0.987,0.729,0.23050266890663745
327,0,1,1,"[-0.00759744 -0.00728935 -0.00698119 ... -0.01942936 -0.01801707
 -0.01658546]",0.048,0.574,1.108,85.77,0.99,0.725,0.19858057645659472
328,0,0,1,"[ 0.01487823  0.01495111  0.01501625 ... -0.00375776 -0.00279754
 -0.00180274]",0.05,0.521,-3.495,61.404,0.975,0.56,0.069785316032807
329,0,0,1,"[-0.02332216 -0.02429133 -0.02522653 ...  0.01581878  0.01445179
  0.01306936]",0.311,0.596,-0.213,10.201,0.956,0.706,0.16991620133179308
330,1,0,0,"[-0.00498905 -0.0060886  -0.00706808 ... -0.01968242 -0.01735889
 -0.01507532]",0.106,0.577,2.263,9.752,0.991,0.867,0.404328435885775
331,1,0,0,"[-0.0043424  -0.00399637 -0.00366374 ... -0.0006063  -0.00058165
 -0.00056264]",0.008,0.644,-0.354,15.654,0.994,0.724,0.2502817436911615
332,0,0,0,"[ 0.00051282  0.0023062   0.00405912 ... -0.00337216 -0.00358911
 -0.00383258]",0.0,0.631,4.453,26.92,0.993,0.891,0.4952388278386759
333,0,0,0,"[ 0.00021519 -0.00162641 -0.00344603 ... -0.0020472  -0.00239758
 -0.0027621 ]",0.004,0.662,4.45,26.077,0.993,0.873,0.4794930871970445
334,1,0,0,[0.00410519 0.00384401 0.00356629 ... 0.00859341 0.00815205 0.00767695],0.046,0.586,2.519,9.437,0.992,0.898,0.49217524360077053
335,1,0,0,[0.01469058 0.01643598 0.01815477 ... 0.00160042 0.00095169 0.00029529],0.002,0.615,3.031,12.439,0.991,0.894,0.48136934138099374
336,1,0,0,"[ 0.06367615  0.07697409  0.09001428 ... -0.02403189 -0.02837943
 -0.03276947]",0.124,0.443,3.145,12.31,0.928,0.833,0.4504801771528418
337,1,0,0,"[ 0.0032854   0.00320808  0.00313257 ... -0.00123213 -0.00090588
 -0.00057081]",0.145,0.626,3.146,11.692,0.99,0.817,0.4021642327446174
338,1,1,0,"[ 0.019672    0.01824084  0.01686782 ...  0.00121458  0.00056999
 -0.00016387]",0.251,0.631,2.904,10.625,0.98,0.87,0.40248031995430983
339,1,0,0,"[ 0.00153931 -0.00070479 -0.00285091 ...  0.00242258  0.00286398
  0.00334804]",0.233,0.638,2.142,7.693,0.987,0.784,0.32590084381443973
340,1,1,0,"[-0.03159364 -0.01921068 -0.00697907 ... -0.00494942 -0.00407992
 -0.00320595]",0.493,0.578,1.719,9.274,0.984,0.922,0.5687598080649701
341,1,1,0,"[ 0.0597444   0.05750546  0.05533712 ... -0.0159703  -0.0141516
 -0.01232148]",0.558,0.572,0.906,8.616,0.976,0.837,0.46397310145311393
342,1,0,0,"[-0.00462422 -0.00541331 -0.00618146 ...  0.00971378  0.0082802
  0.00682945]",0.269,0.673,2.786,12.072,0.98,0.859,0.5014324423874678
343,1,1,0,[0.0051051  0.00592763 0.00673248 ... 0.01277573 0.0102661  0.00771074],0.263,0.634,2.583,12.0,0.981,0.864,0.515842336958641
344,0,1,0,"[ 0.00127943  0.00240381  0.00350808 ... -0.00471744 -0.00384888
 -0.00295757]",0.501,0.574,3.985,88.044,0.99,0.679,0.15536634872072932
345,0,1,0,"[ 0.00368029  0.00375765  0.00381822 ... -0.03259407 -0.03321637
 -0.03376211]",0.474,0.575,-1.027,26.33,0.974,0.677,0.14351773508341983
346,0,0,1,[0.00018617 0.0007809  0.0013531  ... 0.00291318 0.00285336 0.00279977],0.0,0.51,0.742,10.08,0.992,0.496,0.054623025971104494
347,0,0,1,"[-0.01132384 -0.01281402 -0.01440758 ... -0.01721723 -0.01675623
 -0.01630018]",0.012,0.462,0.077,8.212,0.988,0.698,0.17670584912064222
348,1,0,0,"[-0.00375924 -0.00591961 -0.00802837 ...  0.01470303  0.01329202
  0.01187624]",0.01,0.665,2.967,13.979,0.985,0.85,0.3616152873654194
349,1,1,0,"[-0.00637306 -0.0058416  -0.00535144 ...  0.00370492  0.00307943
  0.00244406]",0.005,0.529,3.588,17.968,0.988,0.862,0.4095841139173372
350,0,0,0,"[ 0.00095718 -0.00114592 -0.00324396 ...  0.00453599  0.0032248
  0.00189494]",0.31,0.592,2.092,8.383,0.987,0.853,0.4270979231059856
351,0,0,0,"[-0.00435717 -0.00377964 -0.0032     ... -0.00611899 -0.00531276
 -0.00449139]",0.025,0.667,-2.134,39.545,0.991,0.68,0.17655097140466955
352,1,1,0,"[-0.00999218 -0.01083807 -0.01163735 ...  0.02032178  0.0176432
  0.01495528]",0.004,0.619,3.761,19.367,0.988,0.872,0.43954417690073044
353,1,0,0,"[-0.00347874 -0.00192862 -0.00042991 ... -0.00302677 -0.00330968
 -0.00367446]",0.0,0.379,4.219,23.356,0.993,0.902,0.46504722089889033
354,1,1,0,"[-0.01713274 -0.0162522  -0.01541409 ...  0.0229414   0.02377976
  0.02470208]",0.861,0.582,0.546,111.883,0.983,0.649,0.14636463947087927
355,1,1,0,"[ 0.01221745  0.01207615  0.01192565 ... -0.0050901  -0.00432874
 -0.00356057]",0.003,0.58,1.894,228.782,0.99,0.778,0.3490235766463608
356,1,0,0,"[-0.00521222 -0.00583889 -0.00644929 ...  0.00363259  0.00280403
  0.00197336]",0.004,0.568,4.073,20.959,0.99,0.883,0.5106670165327104
357,1,0,0,"[-0.00761161 -0.0085073  -0.00935547 ...  0.00290011  0.00269216
  0.00252014]",0.011,0.647,4.007,20.991,0.989,0.88,0.5073856221198655
358,0,0,0,[0.00079824 0.00518709 0.00961249 ... 0.01076407 0.01011657 0.00949879],0.011,0.635,2.624,16.072,0.987,0.876,0.4874814195686819
359,0,0,0,"[-0.00377934 -0.00315023 -0.00253486 ... -0.06778498 -0.06344083
 -0.05910767]",0.006,0.655,2.52,17.656,0.969,0.881,0.5167046836049992
360,0,1,1,"[ 0.01007633  0.01045142  0.01081368 ... -0.00013291 -0.00042644
 -0.00073268]",0.555,0.579,-0.151,47.22,0.99,0.75,0.2771028659512548
361,0,1,0,"[-0.00648262 -0.00627797 -0.00608458 ... -0.01562013 -0.01556253
 -0.01549445]",0.625,0.572,0.837,2.266,0.993,0.857,0.4883753841537626
362,1,1,0,"[-0.00692935 -0.0001292   0.00663563 ...  0.01258858  0.01210959
  0.01162972]",0.699,0.569,0.716,2.758,0.987,0.89,0.5344752646605986
363,1,1,0,[0.00207517 0.00228103 0.00248153 ... 0.00364137 0.00279962 0.00195669],0.628,0.57,0.827,3.453,0.995,0.888,0.5478559513853808
364,1,1,0,[0.00451609 0.00554463 0.00653019 ... 0.00218913 0.00285881 0.00357747],0.607,0.583,4.318,19.819,0.993,0.903,0.56065089172737
365,1,1,0,"[-0.01177128 -0.01188802 -0.01197727 ... -0.0112266  -0.00975153
 -0.0082721 ]",0.66,0.595,4.282,39.713,0.99,0.777,0.38483361744742756
366,1,1,0,"[-0.00237644 -0.00265054 -0.00294271 ... -0.01068767 -0.01073209
 -0.01080559]",0.0,0.643,3.207,13.368,0.99,0.914,0.5200045121690231
367,1,1,0,[0.01223803 0.01738147 0.0223453  ... 0.00927937 0.00918839 0.00908294],0.083,0.594,3.153,12.987,0.99,0.899,0.4693258365842153
368,1,0,1,"[ 0.00623578  0.00061077 -0.00501435 ... -0.00526218 -0.00404914
 -0.00280448]",0.664,0.566,1.871,7.822,0.986,0.782,0.42964523845002306
369,1,0,1,"[-0.11160905 -0.11149968 -0.1114458  ...  0.13715801  0.13185826
  0.12650266]",0.576,0.566,0.115,45.8,0.968,0.778,0.34187986087356226
370,0,0,0,"[ 0.01459457  0.01616448  0.01769982 ... -0.0292632  -0.02855267
 -0.02782649]",0.002,0.607,-1.748,89.221,0.984,0.678,0.17586761876442628
371,0,1,0,"[ 0.00319658  0.00329188  0.00334867 ... -0.00692862 -0.00713023
 -0.00739411]",0.015,0.622,0.392,87.716,0.99,0.648,0.11361719832619718
372,0,1,1,"[-0.01689515 -0.01988601 -0.022809   ... -0.00776386 -0.00654143
 -0.0053197 ]",0.123,0.853,-0.007,143.161,0.989,0.691,0.19812253588651518
373,0,1,0,[0.00611166 0.00719991 0.00823073 ... 0.00209359 0.00300818 0.00396666],0.018,0.64,-2.826,250.035,0.989,0.744,0.30288390649397123
374,0,0,0,"[ 0.00040192 -0.00227714 -0.0049168  ... -0.00184909 -0.00120136
 -0.00051578]",0.195,0.89,0.411,2.893,0.979,0.833,0.35350024898272625
375,0,0,0,"[-0.01308853 -0.01175175 -0.01043641 ...  0.00847224  0.00706865
  0.00562028]",0.192,0.844,3.806,75.163,0.973,0.678,0.14368730302692798
376,0,0,1,"[ 0.00435467  0.00358547  0.00283497 ... -0.02155328 -0.01862951
 -0.01561477]",0.667,0.577,2.583,14.475,0.987,0.805,0.310126546473253
377,0,0,1,"[ 0.00171761  0.00414922  0.00650059 ... -0.00346702 -0.00447306
 -0.00551402]",0.09,0.62,-0.604,51.34,0.989,0.733,0.24691223689139707
378,0,1,1,"[-0.00308303 -0.00275753 -0.0024696  ...  0.01655705  0.01499889
  0.0134589 ]",0.229,0.634,-0.564,23.362,0.98,0.658,0.11128522478560834
379,0,0,1,"[ 0.00740336  0.00857323  0.0097522  ... -0.00117523  0.00057318
  0.00240613]",0.034,0.642,2.631,80.859,0.988,0.641,0.1121284505155252
380,1,0,0,"[-0.00148158 -0.00063191  0.00018482 ...  0.00690868  0.00549474
  0.00403563]",0.48,0.581,-0.788,151.811,0.987,0.689,0.16593819897723053
381,0,0,0,"[ 0.02727419  0.03669213  0.04589271 ... -0.00450745 -0.00371689
 -0.00288107]",0.014,0.603,3.057,13.572,0.982,0.823,0.4739912525828682
382,1,0,1,"[-0.00132892  0.00035482  0.00200731 ...  0.00806197  0.00769963
  0.00733967]",0.007,0.632,1.03,5.983,0.988,0.657,0.16245361897780616
383,0,0,0,"[-0.00968904 -0.01107826 -0.01241791 ...  0.00160715  0.00038632
 -0.00085654]",0.02,0.638,2.769,13.1,0.991,0.817,0.4284236721652351
384,1,1,0,"[-0.02074208 -0.02487402 -0.02891405 ... -0.00529123 -0.00325314
 -0.00117926]",0.099,0.869,2.045,4.843,0.973,0.767,0.179617858660169
385,1,1,0,"[-0.01889153 -0.01779908 -0.01671852 ...  0.00953945  0.00790874
  0.00624012]",0.15,0.641,1.783,4.43,0.971,0.7,0.17169210868851906
386,1,1,0,"[-0.00238252 -0.00187098 -0.00135078 ... -0.00037188  0.00121146
  0.00281455]",0.693,0.574,3.637,15.258,0.994,0.889,0.5648134971972882
387,1,1,0,"[ 0.00463602  0.00368038  0.00275359 ... -0.00496468 -0.00334153
 -0.00168341]",0.741,0.578,3.092,12.676,0.994,0.839,0.46257882056042404
388,0,1,1,"[-0.00701601 -0.01213706 -0.01712969 ... -0.00626082 -0.00517045
 -0.00405249]",0.263,0.709,1.01,195.363,0.985,0.609,0.09729924221942993
389,0,1,1,"[ 0.01756565  0.01974575  0.02188405 ... -0.00361011 -0.00241786
 -0.00116459]",0.264,0.651,-4.2,78.42,0.967,0.569,0.07347415960443607
390,1,0,0,"[-0.01617076 -0.01743695 -0.01866242 ... -0.0220013  -0.01763793
 -0.01317702]",0.769,0.573,3.117,14.84,0.99,0.862,0.5119541337734941
391,1,1,0,"[-0.00062674 -0.00056523 -0.00049821 ...  0.00703781  0.00657347
  0.0061073 ]",0.222,0.657,3.891,65.807,0.982,0.695,0.12575292833677357
392,1,1,0,"[-0.00109778  0.00147548  0.00396491 ... -0.02399814 -0.02138636
 -0.01874157]",0.246,0.585,0.814,1.749,0.979,0.783,0.1767830170746062
393,0,0,0,[0.00118747 0.0029866  0.0047371  ... 0.00132858 0.00095746 0.00059809],0.546,0.577,1.475,45.245,0.99,0.741,0.2695071925617399
394,0,0,0,"[ 0.00139068  0.00200025  0.00259763 ... -0.00420584 -0.00316492
 -0.00209126]",0.06,0.637,2.832,12.859,0.991,0.862,0.47996423029796353
395,1,1,0,"[-0.02763414 -0.03046914 -0.03319603 ... -0.01140781 -0.00962462
 -0.0078217 ]",0.67,0.578,0.565,5.839,0.987,0.885,0.5408183356231735
396,1,0,0,"[-0.00704779  0.00628752  0.01958358 ... -0.01307941 -0.01148532
 -0.009906  ]",0.782,0.573,3.436,32.137,0.989,0.809,0.40234763417992686
397,1,0,0,"[-0.00488425 -0.00277317 -0.00073046 ... -0.00128637 -0.00190434
 -0.00253695]",0.617,0.576,0.751,6.661,0.992,0.874,0.5548692506870164
398,1,0,1,"[-0.01766    -0.01699966 -0.01633309 ... -0.01812487 -0.01322017
 -0.00815033]",0.03,0.61,0.432,2.165,0.983,0.703,0.12328219229272488
399,1,0,0,"[-0.02373793 -0.02413831 -0.02455125 ...  0.00115726  0.00128887
  0.00142823]",0.024,0.597,0.664,2.944,0.98,0.755,0.1749631394060639
400,1,0,0,[0.01690259 0.01553848 0.01421819 ... 0.01246957 0.01128969 0.0100808 ],0.012,0.572,0.931,2.233,0.989,0.754,0.17724325784685355
401,0,1,1,"[-0.03583684 -0.03625972 -0.03664505 ...  0.00392707  0.00312061
  0.00228181]",0.142,0.609,0.71,24.308,0.973,0.645,0.164581207824592
402,0,1,1,"[-0.00549122 -0.00569458 -0.00586878 ... -0.01886763 -0.01623162
 -0.01360733]",0.17,0.657,1.787,66.158,0.985,0.661,0.19165313236950035
403,1,1,0,[0.03802236 0.03802182 0.03801987 ... 0.00391032 0.00412003 0.00434279],0.446,0.584,2.501,9.2,0.978,0.842,0.4096322874297163
